cliente,compras_mes,gasto_medio_reais,dias_desde_ultima_compra
C01,2,35,90
C02,1,20,120
C03,3,45,80
C04,8,180,20
C05,10,220,14
C06,7,150,25
C07,4,80,45
C08,5,95,38
C09,6,110,35
C10,12,260,7
C11,9,210,12
C12,2,60,65
C13,4,70,55
C14,1,25,140
C15,5,130,30
C016,6,114,47
C017,5,105,64
C018,8,181,20
C019,3,17,176
C020,6,132,63
C021,6,210,29
C022,2,21,87
C023,11,257,17
C024,6,196,38
C025,6,130,32
C026,7,242,14
C027,3,28,96
C028,3,91,69
C029,7,138,55
C030,1,12,92
C031,11,224,5
C032,6,140,40
C033,1,12,75
C034,7,171,27
C035,7,161,22
C036,4,98,72
C037,7,235,24
C038,2,40,132
C039,6,73,50
C040,6,181,40
C041,5,98,52
C042,12,246,13
C043,1,12,149
C044,4,99,64
C045,9,226,22
C046,2,24,148
C047,4,84,75
C048,6,109,28
C049,3,24,74
C050,8,227,13
C051,9,162,19
C052,6,155,46
C053,11,313,7
C054,3,24,115
C055,3,97,58
C056,9,276,20
C057,1,27,143
C058,5,136,84
C059,7,178,36
C060,6,94,76
C061,9,278,3
C062,1,46,140
C063,6,98,71
C064,8,163,55
C065,1,17,140
C066,5,130,62
C067,7,203,38
C068,1,36,156
C069,11,300,22
C070,5,157,14
C071,5,137,62
C072,8,286,6
C073,3,48,85
C074,3,120,60
C075,7,164,42
C076,1,12,147
C077,3,69,83
C078,7,177,23
C079,5,119,84
C080,9,308,19
C081,2,22,145
C082,4,132,43
C083,9,164,26
C084,1,12,157
C085,11,214,21
C086,5,191,53
C087,4,58,80
C088,11,305,2
C089,6,202,31
C090,3,115,66
C091,7,276,11
C092,2,38,162
C093,4,91,71
C094,6,219,44
C095,1,12,149
C096,10,259,19
C097,7,118,20
C098,3,91,65
C099,8,228,24
C100,3,31,119
C101,4,91,60
C102,8,152,41
C103,2,17,121
C104,10,260,24
C105,5,99,35
C106,5,132,61
C107,10,264,10
C108,1,12,147
C109,4,93,49
C110,8,231,20
C111,3,12,148
C112,3,89,48
C113,6,105,26
C114,2,12,146
C115,11,254,17
C116,8,181,51
C117,3,71,52
C118,12,219,2
C119,3,48,166
C120,7,273,6
C121,5,117,27
C122,1,33,90
C123,11,258,19
C124,6,190,30
C125,6,145,59
C126,7,271,5
C127,2,29,137
C128,6,100,38
C129,9,198,26
C130,3,42,122
C131,8,222,17
C132,6,190,41
C133,1,12,127
C134,11,240,9
C135,6,150,32
C136,4,58,84
C137,11,230,23
C138,1,12,161
C139,7,171,12
C140,5,152,15
C141,4,72,83
C142,10,235,2
C143,7,169,38
C144,5,62,65
C145,8,176,28
C146,2,30,90
C147,4,103,77
C148,8,218,38
C149,2,48,169
C150,7,252,9
C151,8,155,46
C152,4,58,36
C153,10,191,19
C154,9,140,20
C155,5,87,48
C156,9,193,19
C157,3,43,134
C158,9,272,29
C159,7,214,43
C160,4,110,81
C161,8,266,25
C162,1,12,134
C163,4,73,49
C164,9,178,52
C165,1,12,161
C166,5,136,48
C167,5,171,41
C168,2,43,126
C169,7,198,15
C170,7,165,41
C171,4,126,57
C172,8,170,9
C173,3,35,120
C174,5,61,76
C175,8,206,26
C176,1,26,93
C177,7,161,13
C178,5,157,34
C179,3,56,81
C180,8,211,16
C181,3,33,105
C182,5,121,49
C183,8,182,25
C184,2,32,123
C185,12,275,17
C186,5,193,47
C187,1,12,115
C188,8,266,26
C189,5,142,42
C190,3,127,67
C191,8,163,3
C192,2,34,120
C193,5,114,58
C194,9,173,40
C195,1,37,123
C196,10,241,20
C197,9,210,33
C198,5,124,67
C199,11,264,2
C200,2,39,89
