renda_mensal,idade,score_credito,divida_atual,decisao_credito
3200,22,580,2500,negado
7200,35,760,1200,aprovado
4500,29,640,3200,negado
8900,41,810,900,aprovado
5100,31,690,1800,aprovado
2700,24,520,4200,negado
6300,38,710,2100,aprovado
3900,27,610,3500,negado
7600,45,780,1500,aprovado
3400,36,590,2800,negado
5800,33,700,1600,aprovado
4200,25,600,3900,negado
6800,30,730,2200,aprovado
3100,28,550,3600,negado
9300,49,830,1100,aprovado
3700,39,570,4100,negado
5600,26,680,2400,aprovado
2500,21,500,3800,negado
18500,52,845,14500,aprovado
1200,19,455,6200,negado
14800,66,610,900,negado
9800,23,890,7600,aprovado
2300,58,720,9500,negado
12500,67,835,700,aprovado
11700,52,862,3700,aprovado
5500,18,665,4500,negado
4300,32,660,1400,aprovado
3700,66,582,2100,negado
6500,33,757,2100,aprovado
7800,34,710,5200,negado
7300,45,709,1400,aprovado
2000,42,478,1700,negado
5100,31,792,1000,aprovado
3000,18,651,2300,negado
4300,41,690,1300,aprovado
1600,18,651,900,negado
8500,43,785,2300,aprovado
6700,34,646,2700,negado
9700,54,811,2400,aprovado
8800,26,556,2000,negado
8900,21,791,3200,aprovado
6900,26,654,6400,negado
4300,39,747,2500,aprovado
4900,50,687,3600,negado
6900,64,714,1500,aprovado
5000,60,549,2400,negado
6300,40,719,2400,aprovado
2500,57,705,2300,negado
7800,32,780,1200,aprovado
8500,44,581,5900,negado
4300,53,660,1000,aprovado
6700,29,542,3900,negado
6800,38,712,1700,aprovado
3300,25,611,2500,negado
7500,51,812,1100,aprovado
3000,59,523,2500,negado
7900,21,726,2100,aprovado
1600,36,662,1300,negado
6600,36,866,2400,aprovado
3700,19,720,2100,negado
6300,65,804,1500,aprovado
2000,21,681,1600,negado
8800,46,793,400,aprovado
2300,20,577,1500,negado
7900,50,845,3500,aprovado
3400,42,616,1800,negado
10100,42,738,3400,aprovado
5400,36,633,2800,negado
5900,25,770,1800,aprovado
4300,18,701,3400,negado
9500,52,777,3900,aprovado
7000,32,711,6300,negado
8100,45,816,3800,aprovado
3800,53,653,900,negado
6700,25,792,2000,aprovado
4100,25,535,3300,negado
10000,45,847,1000,aprovado
1600,23,568,900,negado
7900,61,743,2100,aprovado
3400,21,637,500,negado
7700,65,841,400,aprovado
2200,23,581,1300,negado
11600,38,810,5700,aprovado
4900,18,619,3600,negado
9400,47,790,2300,aprovado
4300,49,532,1300,negado
8200,33,793,1000,aprovado
6700,54,514,5100,negado
10200,41,766,5000,aprovado
6200,18,674,4900,negado
11500,39,810,4700,aprovado
3400,18,586,2500,negado
8300,21,739,2600,aprovado
5500,20,665,1500,negado
9100,39,796,4700,aprovado
2300,18,525,1300,negado
4600,40,722,2100,aprovado
3400,43,650,1900,negado
8600,45,829,3100,aprovado
4100,65,612,1700,negado
7600,31,793,1500,aprovado
7100,18,583,5900,negado
11000,29,890,1100,aprovado
1600,20,532,1900,negado
8800,23,779,700,aprovado
3800,18,503,3900,negado
6300,46,740,700,aprovado
3300,19,653,2400,negado
5700,53,821,1400,aprovado
1600,65,630,1400,negado
4700,36,814,1800,aprovado
4600,30,572,2000,negado
7900,43,716,1600,aprovado
8900,35,694,7100,negado
11300,26,769,4600,aprovado
3400,33,583,2400,negado
6600,56,727,1600,aprovado
7600,22,607,5500,negado
9300,45,695,6000,aprovado
1600,26,670,500,negado
10100,24,870,4100,aprovado
1600,18,581,1500,negado
4700,46,660,1000,aprovado
7900,25,525,8100,negado
5300,53,797,1900,aprovado
4800,32,645,4400,negado
5500,31,670,3000,aprovado
7300,34,760,5400,negado
9300,21,803,2200,aprovado
1600,49,585,600,negado
8400,66,660,1700,aprovado
3900,33,685,2900,negado
9600,29,829,2400,aprovado
8900,51,486,9200,negado
4300,43,663,1900,aprovado
9800,43,435,5400,negado
6400,32,825,1900,aprovado
9300,29,719,6300,negado
9600,27,736,2500,aprovado
4100,28,760,3600,negado
5200,29,760,500,aprovado
2900,65,540,1600,negado
4300,30,660,1000,aprovado
1400,18,558,900,negado
9200,21,791,2800,aprovado
2800,54,606,2300,negado
4300,52,660,900,aprovado
9300,39,701,8300,negado
8000,33,855,2500,aprovado
2800,33,567,3200,negado
7700,54,900,1900,aprovado
1800,43,527,1500,negado
6800,52,691,500,aprovado
9400,46,704,7000,negado
8500,61,812,3600,aprovado
5700,18,575,5300,negado
12800,45,871,5500,aprovado
3100,46,596,1800,negado
7300,27,743,1600,aprovado
5300,46,583,2600,negado
8200,28,823,2200,aprovado
2100,37,619,400,negado
4300,23,660,300,aprovado
2600,18,704,400,negado
8100,21,807,2200,aprovado
1600,38,531,1100,negado
4300,68,666,300,aprovado
1700,33,685,1100,negado
7800,42,788,1100,aprovado
9100,27,620,7000,negado
6300,53,724,1500,aprovado
3100,42,499,1900,negado
12600,42,823,5300,aprovado
6700,48,522,5100,negado
12800,37,900,2000,aprovado
1900,38,686,1900,negado
7800,31,804,800,aprovado
1400,69,698,400,negado
7500,31,824,2000,aprovado
2800,43,692,2100,negado
9900,21,822,3200,aprovado
8900,45,606,10500,negado
5500,45,721,600,aprovado
5200,28,726,4300,negado
4900,35,725,800,aprovado
4100,22,722,4900,negado
7200,33,819,2700,aprovado
1600,26,690,700,negado
8200,21,783,600,aprovado
6500,18,530,1900,negado
8700,29,815,900,aprovado
2000,65,645,400,negado
9900,35,867,4700,aprovado
3400,42,699,800,negado
9800,25,760,4500,aprovado
4000,38,624,2300,negado
7600,45,879,1800,aprovado
3900,18,561,3000,negado
8500,40,775,2700,aprovado
2500,47,530,1800,negado
